Year (negative values = BC),Temp interpolated,CO2 interpolated,N2O interpolated,Methane interpolated
-796475,-8.603333333333333,190.13333333333333,254.0,443.175
-796467,-8.666666666666666,189.7,253.25714285714287,457.8
-795458,-8.73,189.26666666666668,252.5142857142857,426.95000000000005
-795327,-8.68,188.83333333333334,251.77142857142857,396.1
-795149,-8.629999999999999,188.4,251.02857142857144,400.48
-794517,-8.58,189.3,250.2857142857143,404.86
-794499,-8.53,190.48000000000002,249.54285714285714,409.24
-794430,-8.43,191.66,248.8,413.62
-794369,-8.33,192.84,247.35714285714286,418.0
-793606,-8.23,194.01999999999998,245.9142857142857,421.43333333333334
-793252,-7.930000000000001,195.2,244.47142857142856,424.8666666666667
-792988,-7.63,196.6,243.02857142857144,428.3
-792758,-7.33,198.0,241.5857142857143,426.141666675
-792658,-7.125,199.4,240.14285714285714,423.98333334999995
-792569,-6.92,201.32,238.7,421.82500002499995
-792449,-6.715,203.24,238.7,419.66666669999995
-791926,-6.51,205.16,238.7,435.43333335
-791645,-6.31,207.08,238.7,451.2
-791310,-6.11,209.0,238.7,454.89333333999997
-791129,-5.91,206.5,238.7,458.58666667999995
-790993,-5.835,204.0,238.7,462.28000002
-790916,-5.76,204.275,238.7,465.97333335999997
-790877,-5.6850000000000005,204.55,240.27142857142857,469.66666669999995
-790381,-5.61,204.825,241.84285714285713,468.5111111333333
-790131,-5.423333333333334,205.1,243.4142857142857,467.3555555666666
-790044,-5.236666666666666,208.53333333333333,244.98571428571427,466.2
-789668,-5.05,211.96666666666667,246.55714285714285,475.4
-789541,-4.8549999999999995,215.4,248.1285714285714,484.6
-789474,-4.66,216.58,249.7,493.8
-789426,-4.465,217.76000000000002,250.2142857142857,503.0
-788987,-4.27,218.94,250.72857142857143,493.0
-788740,-4.08,220.12,251.24285714285713,483.0
-788588,-3.89,221.3,251.75714285714287,494.46666666
-788331,-3.7,219.75,252.27142857142857,505.93333332
-788203,-3.5475000000000003,218.2,252.7857142857143,517.39999998
-788110,-3.395,220.225,253.3,528.86666664
-788087,-3.2424999999999997,222.25,253.21428571428572,540.3333332999999
-787685,-3.09,224.275,253.12857142857143,541.2888888666666
-787431,-2.9233333333333333,226.3,253.04285714285714,542.2444444333333
-787312,-2.7566666666666664,227.36666666666667,252.95714285714286,543.2
-787068,-2.59,228.43333333333334,252.87142857142857,547.8166666750001
-786937,-2.535,229.5,252.78571428571428,552.4333333500001
-786882,-2.48,233.18,252.7,557.050000025
