,Years Predicted,CO2 interpolated,N2O interpolated,Methane interpolated
0,2016,400.958502213698,328.3812304791229,1798.461158685087
1,2017,402.955436765345,329.2159466328885,1800.653255810651
2,2018,404.95237131699196,330.05066278665413,1802.845352936215
3,2019,406.94930586863893,330.88537894041997,1805.037450061779
4,2020,408.9462404202859,331.7200950941856,1807.229547187343
5,2021,410.9431749719329,332.5548112479512,1809.4216443129071
6,2022,412.94010952357985,333.3895274017168,1811.6137414384702
7,2023,414.9370440752268,334.22424355548264,1813.8058385640343
8,2024,416.9339786268738,335.05895970924826,1815.9979356895983
9,2025,418.93091317852077,335.89367586301387,1818.1900328151623
